[((0.71,0.74),256)]|[(g.minor,256)]|[103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0]|[(103,144),(72,60),(0,52)]|[[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]|[]|[[144, 60, 52], [[0, 256]], ((0, 0, 0), (103, -103, 23)), [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,96,0,0,0,0,99,99,99,101,101,101,101,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,81]|[(0,92),(67,4),(0,8),(96,4),(0,16),(99,12),(101,44),(0,64),(81,12)]|[[],[],[],[],[],[],[],[95],[95],[],[],[],[],[],[],[]]|[160]|[[92, 4, 8, 4, 16, 12, 44, 64, 12], [(5.83, 112), (11.66, 32), (5.83, 112)], [(95, 0, 0), (101, 81, -13)], [0, 0, 1, 0, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[0,0,0,0,0,0,0,67,67,67,0,0,0,0,0,0,81,81,0,0,0,0,0,0,0,67,67,0,0,0,76,76,0,0,81,81,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,79,79,72,72,72,72,72,72,72,79,79]|[(0,28),(67,12),(0,24),(81,8),(0,28),(67,8),(0,12),(76,8),(0,8),(81,8),(0,32),(74,8),(0,28),(79,8),(72,28),(79,8)]|[[],[],[],[],[69],[],[55],[55],[],[],[],[],[],[],[],[]]|[144]|[[28, 12, 24, 8, 28, 8, 12, 8, 8, 8, 32, 8, 28, 8, 28, 8], [(3.52, 64), (7.04, 16), (1.165, 16), (-4.71, 32), (-2.355, 128)], [(55, -14, -3), (81, 79, -12)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[72,72,72,0,0,0,0,81,81,81,81,81,81,81,81,81,81,74,74,74,74,76,76,76,76,76,76,76,74,0,0,0,0,0,74,81,81,81,81,81,81,81,81,81,81,81,76,76,76,76,76,76,76,76,76,76,76,76,76,79,79,79,79,79]|[(72,12),(0,16),(81,40),(74,16),(76,28),(74,4),(0,20),(74,4),(81,44),(76,52),(79,20)]|[[],[],[50],[50],[],[],[],[],[],[50,62,69],[50,62],[50],[50,72],[50],[48,52,55,60,64],[48,52,55,60,67]]|[]|[[12, 16, 40, 16, 28, 4, 20, 4, 44, 52, 20], [(2.94, 32), (5.88, 32), (12.11, 80), (18.34, 16), (11.66, 16), (5.88, 16), (-11.66, 16), (5.88, 16), (30.45, 16), (-27.6, 16)], [(48, -2, 0), (81, 7, -9)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[76,76,76,76,77,77,77,77,77,77,77,76,76,76,74,74,74,74,74,64,60,60,60,60,60,60,60,60,76,76,76,76,76,76,76,76,76,91,91,60,60,60,60,60,60,0,91,91,91,91,91,91,0,0,0,0,64,64,0,0,0,0,0,0]|[(76,16),(77,28),(76,12),(74,20),(64,4),(60,32),(76,36),(91,8),(60,24),(0,4),(91,24),(0,16),(64,8),(0,24)]|[[48,52,55,60],[48,52,55,60,64],[48,52,55,60,64],[52,55],[52],[52],[52],[],[],[],[74],[],[72,79],[72,79],[],[]]|[64,240]|[[16, 28, 12, 20, 4, 32, 36, 8, 24, 4, 24, 16, 8, 24], [(-23.61, 16), (30.45, 32), (12.79, 16), (8.21, 48), (7.045, 48), (5.88, 16), (-2.315, 16), (-10.51, 32), (-5.255, 32)], [(48, 24, -3), (91, -76, 22)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[0,62,62,0,0,64,64,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,43,43,43,64,43,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,64,64,0,0,0,0,0,0,0,60,60,0,0,0,72,0,0,0,67]|[(0,4),(62,8),(0,8),(64,8),(62,56),(64,4),(43,12),(64,4),(43,4),(62,72),(64,8),(0,28),(60,8),(0,12),(72,4),(0,12),(67,4)]|[[],[],[],[],[],[],[],[],[],[],[48],[],[],[],[],[48]]|[192]|[[4, 8, 8, 8, 56, 4, 12, 4, 4, 72, 8, 28, 8, 12, 4, 12, 4], [(-2.94, 160), (-5.88, 96)], [(48, 0, 0), (72, 67, 12)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[60,60,60,60,60,60,60,60,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,57,57,0,0,0,81,81,81,81,78,78,52,52,52,74,74]|[(60,32),(72,72),(91,88),(57,8),(0,12),(81,16),(78,8),(52,12),(74,8)]|[[48],[48],[48,52,55],[48,52,55],[48,52,55],[48,52,55],[48,52,55],[48,55,60],[48,55,60],[52,55],[52,55],[52],[],[],[50,69],[]]|[160]|[[32, 72, 88, 8, 12, 16, 8, 12, 8], [(-5.88, 32), (0.0, 80), (-16.15, 32), (12.79, 32), (8.21, 16), (10.5, 32), (12.79, 16), (6.395, 16)], [(48, 2, 0), (91, 14, 6)], [0, 0, 1, 1, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,240),(C.major,16)]|[0,0,57,57,0,0,43,76,43,43,43,67,67,67,67,67,67,67,67,67,67,43,43,0,62,62,62,0,0,0,0,0,0,62,62,50,50,50,50,0,0,0,0,60,60,61,69,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0]|[(0,8),(57,8),(0,8),(43,4),(76,4),(43,12),(67,40),(43,8),(0,4),(62,12),(0,24),(62,8),(50,16),(0,16),(60,8),(61,4),(69,4),(60,40),(0,28)]|[[55],[],[67],[55],[],[],[],[],[],[],[],[],[57],[57],[57],[57]]|[32,80]|[[8, 8, 8, 4, 4, 12, 40, 8, 4, 12, 24, 8, 16, 16, 8, 4, 4, 40, 28], [(-4.71, 64), (1.165, 128), (7.04, 64)], [(55, 2, 1), (76, 0, 38)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(C.major,96),(F#.MAJOR,160)]|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,59,0,58,62,0,0,62,62,62,0,0,57,62,0,0,0,0,0,0,0,43,43,0,69,72,72,72,72,69,69,0,0,0]|[(0,96),(59,4),(0,24),(59,4),(0,4),(58,4),(62,4),(0,8),(62,12),(0,8),(57,4),(62,4),(0,28),(43,8),(0,4),(69,4),(72,16),(69,8),(0,12)]|[[57],[57],[57],[57],[],[],[],[],[],[],[],[],[],[],[],[]]|[]|[[96, 4, 24, 4, 4, 4, 4, 8, 12, 8, 4, 4, 28, 8, 4, 4, 16, 8, 12], [(7.04, 64), (3.52, 192)], [(57, 0, 0), (72, 0, 17)], [0, 0, 1, 1, (1, 28)]]
[((0.71,0.74),256)]|[(F#.MAJOR,256)]|[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,62,62,62,0,0,0,0,0,0,57,57,57,0,72,72,0,0,0,0,0,0,0,72,0,0,0,0,0]|[(0,132),(62,8),(0,4),(62,12),(0,24),(57,12),(0,4),(72,8),(0,28),(72,4),(0,20)]|[[],[],[],[],[],[],[],[],[],[],[],[],[],[43,55],[43,55],[55]]|[]|[[132, 8, 4, 12, 24, 12, 4, 8, 28, 4, 20], [(-4.68, 208), (-9.36, 32), (-4.71, 16)], [(43, 12, -2), (72, 0, 10)], [0, 0, 1, 1, (1, 4)]]
[((0.71,0.74),256)]|[(F#.MAJOR,176),(C.major,80)]|[74,74,74,74,74,74,74,74,74,74,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,91,91,91,91,91,91,91,91,91,100,100,100,64,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|[(74,40),(88,68),(91,36),(100,12),(64,20),(0,80)]|[[],[],[],[],[],[],[],[],[],[52],[52],[],[],[],[],[]]|[]|[[40, 68, 36, 12, 20, 80], [(4.105, 144), (8.21, 32), (4.105, 80)], [(52, 0, 0), (100, -74, 20)], [0, 0, 1, 1, (1, 7)]]
[((0.71,0.74),256)]|[(C.major,32),(G.MAJOR,224)]|[0,0,0,0,0,0,0,0,0,0,64,64,64,64,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,74,74,74,74,74,74,74,93,74,74,74,74,74,74,74,74,103,103,103,103,103,88,88,88,88,103,103,103,103,103,103,103]|[(0,40),(64,16),(103,72),(74,28),(93,4),(74,32),(103,20),(88,16),(103,28)]|[[],[],[],[],[62,93],[62],[72],[62],[72],[72],[72],[72],[72],[],[91],[91]]|[112,144]|[[40, 16, 72, 28, 4, 32, 20, 16, 28], [(-5.255, 64), (-10.51, 16), (-4.71, 16), (-9.36, 16), (-4.71, 16), (-9.36, 80), (-7.619999999999999, 16), (-5.88, 32)], [(62, 29, -4), (103, 103, 25)], [0, 0, 1, 1, (1, 45)]]
[((0.71,0.74),256)]|[(G.MAJOR,32),(g.minor,224)]|[103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,81,81,81,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103]|[(103,168),(81,12),(103,76)]|[[91],[91],[60,91],[],[],[],[],[],[64],[52,55,60,64],[52,55,60],[91],[81,91],[81,91],[48,55,60,91],[48,55,60,91]]|[240]|[[168, 12, 76], [(-5.88, 32), (-10.51, 16), (-1.1499999999999995, 80), (8.21, 16), (25.63, 16), (0.0, 16), (-4.71, 16), (11.66, 32), (-20.48, 32)], [(48, -43, -1), (103, 0, -2)], [0, 0, 1, 1, (1, 3)]]
[((0.71,0.74),256)]|[(g.minor,192),(C.MAJOR,64)]|[103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,76,74,74,74,74,74,74,74,0,0,0,0,0]|[(103,204),(76,4),(74,28),(0,20)]|[[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]|[]|[[204, 4, 28, 20], [[0, 256]], ((0, 0, 0), (103, -103, 39)), [0, 0, 1, 1, (1, 4)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[0,0,57,62,62,62,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,65,65,65,0,0,0,0,0,60,72,0,0,70,70,70,70,70,72,72,72,72,72,72,72,72,76,76,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,103]|[(0,8),(57,4),(62,56),(0,16),(65,12),(0,20),(60,4),(72,4),(0,8),(70,20),(72,32),(76,8),(72,60),(103,4)]|[[],[57],[57],[57],[57],[48,57,60,62],[48],[48],[],[48,55,60,64],[48,55,60,64],[48,55,60,64],[48,55,60],[48,55,60],[48,55,60],[48,55,60]]|[144]|[[8, 4, 56, 16, 12, 20, 4, 4, 8, 20, 32, 8, 60, 4], [(3.52, 16), (7.04, 64), (-23.61, 16), (-5.88, 32), (-14.745, 16), (-23.61, 48), (-16.15, 64)], [(48, -9, -2), (103, 103, 3)], [0, 0, 1, 1, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,74,74,74,74,76,76,76,76,76,76,76,76,76,76,76,67,0,64,64,64,0,74,74,74,74,62]|[(96,32),(0,104),(74,32),(76,44),(67,4),(0,4),(64,12),(0,4),(74,16),(62,4)]|[[48],[48],[55,57,91],[55,57,91],[55,57,60,72,79,91],[55,57,79,91],[55,57,79,91],[55,57,62,72,74,79,91],[],[43],[57],[43,55],[43,55],[43,55],[43],[43]]|[144,176]|[[32, 104, 32, 44, 4, 4, 12, 4, 16, 4], [(-5.88, 32), (0.0, 32), (-30.45, 16), (-20.48, 32), (-34.92, 16), (-19.815, 16), (-4.71, 16), (7.04, 16), (-9.36, 48), (-4.71, 32)], [(43, -5, 3), (96, -34, -36)], [0, 0, 1, 1, (1, 18)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[62,62,62,0,0,0,52,57,62,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,62,62,62,62]|[(62,12),(0,12),(52,4),(57,4),(62,4),(79,136),(67,64),(0,4),(62,16)]|[[43],[],[55,60,64],[55,60,64,67],[55,60,64,67],[55,60,64],[55,60],[55,57],[55,57],[55,60],[55,60,64],[64],[],[],[],[]]|[32,192]|[[12, 12, 4, 4, 4, 136, 64, 4, 16], [(-4.71, 16), (-2.355, 16), (0.0, 16), (-22.58, 32), (0.0, 16), (-10.51, 16), (11.66, 32), (-10.51, 16), (0.0, 16), (8.21, 16), (4.105, 64)], [(43, 21, 1), (79, 0, 6)], [0, 0, 1, 1, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,112),(c.minor,96),(C.MAJOR,48)]|[62,62,62,62,62,62,62,62,62,62,62,69,62,62,62,62,62,62,67,69,69,69,69,69,69,69,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,64,64,64,64,64,64,64,67,67,67,67]|[(62,44),(69,4),(62,24),(67,4),(69,28),(67,108),(64,28),(67,16)]|[[],[],[],[],[],[43],[43],[43],[43,55],[43,55],[43,55],[43,55],[43],[43],[43],[43,62]]|[128]|[[44, 4, 24, 4, 28, 108, 28, 16], [(-2.355, 80), (-4.71, 48), (-9.36, 64), (-4.71, 48), (-10.51, 16)], [(43, 0, 0), (69, 5, 1)], [0, 0, 1, 1, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,256)]|[67,67,67,67,67,67,67,69,67,67,67,67,67,67,67,72,67,67,72,72,72,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,64,64,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,0,0,0,0,0,0,0]|[(67,28),(69,4),(67,28),(72,4),(67,8),(72,12),(67,60),(64,8),(67,68),(0,36)]|[[43,62],[62],[57,62],[],[],[64,65],[64,65],[64],[64,65],[],[],[],[],[],[],[]]|[32]|[[28, 4, 28, 4, 8, 12, 60, 8, 68, 36], [(-10.51, 16), (5.88, 16), (12.79, 16), (-2.2300000000000004, 32), (-17.25, 32), (8.21, 16), (-17.25, 16), (-8.625, 112)], [(43, 21, 6), (72, -67, 24)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(C.MAJOR,176),(g.minor,80)]|[0,69,69,69,69,69,69,69,69,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,67,67,0,0,0,0,65,0,0,0,0,64,0,0,0,0,0,67,0,0,0,67,0,67,67,67,55,67,67,67,67,67,67,67,67,67]|[(0,4),(69,32),(0,44),(67,4),(0,28),(67,8),(0,16),(65,4),(0,16),(64,4),(0,20),(67,4),(0,12),(67,4),(0,4),(67,12),(55,4),(67,36)]|[[],[],[],[],[],[],[],[],[],[],[],[65],[],[],[],[55]]|[208]|[[4, 32, 44, 4, 28, 8, 16, 4, 16, 4, 20, 4, 12, 4, 4, 12, 4, 36], [(-4.68, 176), (-9.36, 16), (-7.035, 48), (-4.71, 16)], [(55, -10, 0), (69, 67, -5)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(g.minor,96),(C.major,160)]|[67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]|[(67,88),(70,8),(0,160)]|[[55],[55,64],[55,62],[64],[62,64],[65],[],[],[],[],[],[],[],[],[],[]]|[112]|[[88, 8, 160], [(-4.71, 16), (12.79, 16), (-10.51, 16), (8.21, 16), (13.92, 16), (-9.36, 16), (-4.68, 160)], [(55, 10, -1), (70, -67, -9)], [0, 0, 1, 1, (1, 10)]]
[((0.71,0.74),256)]|[(F#.MAJOR,256)]|[55,55,55,55,55,55,55,55,60,60,60,60,55,55,55,55,55,55,55,55,55,55,55,55,55,55,60,60,60,60,60,60,60,64,64,64,64,64,64,74,74,74,74,74,74,74,62,62,62,62,62,62,67,67,67,67,67,67,67,67,67,67,67,67]|[(55,32),(60,16),(55,56),(60,28),(64,24),(74,28),(62,24),(67,48)]|[[52],[52],[48],[48],[48],[48],[48],[],[57],[57],[57],[38,57],[],[52,64],[55,64],[52,55]]|[208,256]|[[32, 16, 56, 28, 24, 28, 24, 48], [(8.21, 32), (-5.88, 80), (0.5800000000000001, 16), (7.04, 48), (12.79, 16), (14.469999999999999, 16), (16.15, 16), (12.79, 32)], [(38, 0, -2), (74, 12, 0)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(F#.MAJOR,256)]|[67,67,67,67,67,67,67,64,64,64,60,0,60,64,64,60,65,60,60,93,93,93,93,93,93,93,93,93,69,69,0,57,69,64,52,52,52,52,64,64,64,69,69,69,92,92,92,92,92,0,64,64,0,69,64,0,67,67,67,67,67,0,69,69]|[(67,28),(64,12),(60,4),(0,4),(60,4),(64,8),(60,4),(65,4),(60,8),(93,36),(69,8),(0,4),(57,4),(69,4),(64,4),(52,16),(64,12),(69,12),(92,20),(0,4),(64,8),(0,4),(69,4),(64,4),(0,4),(67,20),(0,4),(69,8)]|[[52,55,64],[55],[57],[],[],[57,60],[57],[55,57],[],[],[],[57,62],[],[],[],[57,64]]|[48,144]|[[28, 12, 4, 4, 4, 8, 4, 4, 8, 36, 8, 4, 4, 4, 4, 16, 12, 12, 20, 4, 8, 4, 4, 4, 4, 20, 4, 8], [(20.48, 16), (-4.71, 16), (7.04, 16), (-2.8749999999999996, 32), (-12.79, 16), (7.04, 16), (11.66, 16), (12.225, 48), (12.79, 16), (13.915, 48), (15.04, 16)], [(52, 5, 1), (93, 2, -4)], [0, 0, 0, 0, (0, 0)]]
[((0.71,0.74),256)]|[(F#.MAJOR,256)]|[69,69,67,67,0,64,64,0,67,67,67,67,0,64,64,64,0,0,0,0,0,0,0,0,0,0,92,0,0,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76]|[(69,8),(67,8),(0,4),(64,8),(0,4),(67,16),(0,4),(64,12),(0,40),(92,4),(0,8),(74,60),(76,80)]|[[],[62],[],[],[],[],[],[],[55],[55],[55],[],[],[],[50],[50,72]]|[48,192]|[[8, 8, 4, 8, 4, 16, 4, 12, 40, 4, 8, 60, 80], [(2.94, 16), (5.88, 16), (0.585, 96), (-4.71, 48), (0.585, 48), (5.88, 16), (-11.66, 16)], [(50, -12, -2), (92, 7, -17)], [0, 0, 1, 0, (0, 0)]]
[((0.71,0.74),256)]|[(F#.MAJOR,256)]|[76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,55,55,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,74,74,74,76,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74]|[(76,60),(55,8),(72,76),(74,12),(76,4),(74,96)]|[[50,72],[50,60],[50,60],[50,60],[50],[50,60],[50,60],[50,60],[50,60],[60],[60],[60],[60],[60],[60],[60,64]]|[160]|[[60, 8, 76, 12, 4, 96], [(-11.66, 64), (5.88, 16), (-11.66, 64), (-5.88, 96), (13.92, 16)], [(50, 10, -1), (76, -2, -2)], [0, 0, 1, 1, (1, 1)]]
