[((0.38,0.44),16),((0.39,0.45),16),((0.39,0.44),16),((0.40,0.39),16),((0.41,0.40),32),((0.37,0.41),16),((0.36,0.41),16),((0.37,0.42),16),((0.36,0.43),16),((0.33,0.42),16),((0.32,0.43),16),((0.35,0.39),16),((0.34,0.37),32),((0.36,0.42),16)]|[(c.minor,80),(g#.minor,176)]|[0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,0,0,0,44,44,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,27,27,27,27,44,44,44,44,49,49,49,49,49,44]|[(0,8),(48,56),(0,12),(44,8),(0,8),(37,4),(0,52),(44,52),(27,16),(44,16),(49,20),(44,4)]|[[49],[49],[49],[49],[49],[49],[61],[49],[45],[45],[51],[50],[50],[51],[51],[51]]|[]|[[8, 56, 12, 8, 8, 4, 52, 52, 16, 16, 20, 4], [(-18.34, 128), (7.04, 32), (-24.63, 16), (5.88, 32), (-24.63, 48)], [(45, 2, -1), (49, 44, 8)], [0, 0, 0, 0, (0, 0)]]
[((0.39,0.46),16),((0.40,0.43),16),((0.39,0.37),16),((0.39,0.36),16),((0.38,0.35),16),((0.38,0.32),16),((0.34,0.30),16),((0.34,0.29),16),((0.32,0.36),16),((0.29,0.39),16),((0.29,0.37),16),((0.30,0.38),16),((0.28,0.37),16),((0.28,0.36),16),((0.28,0.37),16),((0.29,0.38),16)]|[(g#.minor,64),(g.minor,192)]|[44,44,0,0,47,47,47,47,47,47,47,44,44,0,0,51,51,51,51,51,53,53,48,48,48,50,50,0,43,43,43,43,43,43,43,43,43,41,0,0,0,0,0,48,36,36,50,50,50,50,50,50,50,50,50,53,53,53,53,53,53,53,53,53]|[(44,8),(0,8),(47,28),(44,8),(0,8),(51,20),(53,8),(48,12),(50,8),(0,4),(43,36),(41,4),(0,20),(48,4),(36,8),(50,36),(53,36)]|[[51],[51],[51],[56],[56],[56],[56],[54],[48],[53],[60],[55],[55],[55],[55],[55]]|[144,176]|[[8, 8, 28, 8, 8, 20, 8, 12, 8, 4, 36, 4, 20, 4, 8, 36, 36], [(-24.63, 48), (-21.54, 64), (15.04, 16), (-5.88, 16), (-9.36, 16), (-5.88, 16), (-4.71, 80)], [(48, 4, 1), (53, 9, -9)], [0, 1, 0, 0, (0, 0)]]
[((0.25,0.38),16),((0.34,0.41),16),((0.42,0.43),16),((0.37,0.42),16),((0.34,0.39),16),((0.38,0.37),16),((0.40,0.39),16),((0.41,0.39),16),((0.41,0.43),32),((0.40,0.39),16),((0.41,0.40),16),((0.42,0.42),16),((0.42,0.44),16),((0.41,0.45),16),((0.42,0.44),16)]|[(g.minor,256)]|[53,53,53,53,53,50,50,50,50,50,50,50,55,55,55,55,55,55,51,51,51,51,51,45,45,45,45,35,26,26,0,0,0,0,45,45,0,0,0,45,0,41,41,41,41,0,0,43,43,43,43,0,41,41,0,0,43,43,43,43,43,43,43,43]|[(53,20),(50,28),(55,24),(51,20),(45,16),(35,4),(26,8),(0,16),(45,8),(0,12),(45,4),(0,4),(41,16),(0,8),(43,16),(0,4),(41,8),(0,8),(43,32)]|[[55],[55],[55],[56],[56],[55,56],[61],[55],[53],[53],[55],[45],[45],[45],[48],[59]]|[176,240]|[[20, 28, 24, 20, 16, 4, 8, 16, 8, 12, 4, 4, 16, 8, 16, 4, 8, 8, 32], [(-4.71, 48), (-21.54, 32), (25.63, 16), (-18.34, 16), (-4.71, 16), (-9.36, 32), (-4.71, 16), (7.04, 48), (-5.88, 16), (11.66, 16)], [(45, 4, -4), (55, -10, -12)], [0, 1, 0, 0, (0, 0)]]
[((0.44,0.44),16),((0.45,0.45),16),((0.45,0.44),32),((0.40,0.44),48),((0.41,0.45),16),((0.40,0.44),16),((0.40,0.45),16),((0.40,0.46),16),((0.41,0.46),16),((0.39,0.45),16),((0.32,0.45),16),((0.31,0.45),16),((0.31,0.44),16)]|[(g.minor,256)]|[43,43,50,50,50,45,45,45,45,45,45,45,43,45,45,46,46,46,46,46,46,51,51,51,45,45,45,45,45,45,45,45,45,43,43,43,43,43,43,43,26,26,50,50,50,43,43,43,43,43,43,43,43,43,43,43,0,0,43,43,43,43,43,43]|[(43,8),(50,12),(45,28),(43,4),(45,8),(46,24),(51,12),(45,36),(43,28),(26,8),(50,12),(43,44),(0,8),(43,24)]|[[58],[58],[48],[51,52],[53],[52],[52],[52],[56],[63],[57],[61,62],[63],[45],[45],[45]]|[48,96,192]|[[8, 12, 28, 4, 8, 24, 12, 36, 28, 8, 12, 44, 8, 24], [(-27.6, 32), (-5.88, 16), (-31.37, 16), (-9.36, 16), (8.21, 48), (-21.54, 16), (-24.63, 16), (7.04, 16), (23.61, 16), (-24.63, 16), (7.04, 48)], [(45, -13, 2), (51, 0, 0)], [0, 0, 0, 0, (0, 0)]]
[((0.31,0.44),16),((0.32,0.43),16),((0.31,0.44),48),((0.32,0.46),16),((0.32,0.48),16),((0.33,0.47),16),((0.35,0.44),16),((0.30,0.45),16),((0.35,0.46),16),((0.43,0.48),16),((0.46,0.49),16),((0.47,0.48),32),((0.47,0.51),16)]|[(g.minor,224),(B.MAJOR,32)]|[43,43,43,43,43,43,43,43,43,43,48,48,48,48,48,48,50,50,50,50,50,50,50,55,55,55,55,55,55,55,52,52,52,52,50,45,45,45,49,44,0,0,0,0,0,0,0,0,63,63,63,63,63,63,42,42,42,42,42,42,49,44,44,44]|[(43,40),(48,24),(50,28),(55,28),(52,16),(50,4),(45,12),(49,4),(44,4),(0,32),(63,24),(42,24),(49,4),(44,12)]|[[45],[45],[53],[54],[56],[56],[56],[56],[56],[56],[59],[65],[67],[65],[61,62],[56]]|[80,208,240]|[[40, 24, 28, 28, 16, 4, 12, 4, 4, 32, 24, 24, 4, 12], [(7.04, 32), (-9.36, 16), (15.04, 16), (-21.54, 96), (11.66, 16), (-9.36, 16), (-4.71, 16), (-9.36, 16), (21.54, 16), (7.04, 16)], [(45, 11, 6), (63, 1, -1)], [0, 1, 0, 0, (0, 0)]]
[((0.47,0.51),48),((0.48,0.51),16),((0.49,0.50),16),((0.49,0.51),32),((0.49,0.52),16),((0.48,0.52),32),((0.48,0.53),16),((0.46,0.50),16),((0.47,0.51),16),((0.48,0.53),16),((0.46,0.52),16),((0.45,0.52),16)]|[(B.MAJOR,256)]|[44,44,44,44,44,51,51,51,51,51,51,51,51,51,49,49,44,0,0,0,0,0,0,39,39,0,0,0,48,48,0,51,51,51,53,53,53,53,53,53,49,53,53,53,53,53,53,0,50,50,50,50,45,45,45,45,45,45,45,45,45,45,45,45]|[(44,20),(51,36),(49,8),(44,4),(0,24),(39,8),(0,12),(48,8),(0,4),(51,12),(53,24),(49,4),(53,24),(0,4),(50,16),(45,48)]|[[52],[56,57],[55],[55],[54],[58],[56],[56],[56],[56],[56],[56],[56],[52],[58,59],[57]]|[112,256]|[[20, 36, 8, 4, 24, 8, 12, 8, 4, 12, 24, 4, 24, 4, 16, 48], [(9.36, 16), (19.42, 48), (4.71, 16), (11.66, 16), (7.04, 112), (9.36, 16), (17.25, 16), (12.79, 16)], [(52, 5, 1), (53, 1, -5)], [0, 1, 0, 0, (0, 0)]]
[((0.45,0.52),16),((0.45,0.50),16),((0.44,0.47),32),((0.44,0.50),16),((0.43,0.52),16),((0.41,0.53),16),((0.43,0.52),16),((0.46,0.51),16),((0.49,0.51),16),((0.49,0.47),16),((0.47,0.50),16),((0.47,0.49),16),((0.44,0.48),16),((0.47,0.49),16),((0.43,0.49),16)]|[(B.MAJOR,256)]|[45,0,53,53,53,53,50,50,50,48,48,48,45,45,45,0,0,0,0,57,57,57,57,52,48,48,48,48,48,41,0,0,53,53,53,50,50,50,50,50,50,48,48,48,48,52,52,52,52,52,52,52,52,52,52,50,0,55,55,55,55,55,55,55]|[(45,4),(0,4),(53,16),(50,12),(48,12),(45,12),(0,16),(57,16),(52,4),(48,20),(41,4),(0,8),(53,12),(50,24),(48,16),(52,40),(50,4),(0,4),(55,28)]|[[52],[62],[62],[62],[62],[62],[51,52],[59],[64],[55],[61],[61],[61],[61],[58],[58]]|[176]|[[4, 4, 16, 12, 12, 12, 16, 16, 4, 20, 4, 8, 12, 24, 16, 40, 4, 4, 28], [(9.36, 16), (16.15, 80), (-17.25, 16), (5.88, 16), (9.36, 16), (19.42, 16), (5.88, 64), (11.66, 32)], [(51, 6, 4), (57, 10, -6)], [0, 1, 0, 0, (0, 0)]]
[((0.40,0.46),16),((0.34,0.44),16),((0.34,0.45),16),((0.33,0.45),16),((0.33,0.44),16),((0.34,0.43),16),((0.35,0.42),32),((0.34,0.47),16),((0.38,0.51),16),((0.43,0.45),16),((0.43,0.38),16),((0.43,0.39),16),((0.45,0.39),16),((0.48,0.40),16),((0.33,0.41),16)]|[(B.MAJOR,256)]|[55,55,55,55,33,26,26,26,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,50,57,0,0,48,48,48,48,48,48,48,48,48,48,48,34,0,46,46,46,46,45,49,44,44,44,44,44,44,44,43]|[(55,16),(33,4),(26,12),(55,100),(50,4),(57,4),(0,8),(48,44),(34,4),(0,4),(46,16),(45,4),(49,4),(44,28),(43,4)]|[[58],[58],[58],[58],[58],[58],[58],[58],[58],[55],[55],[55],[55],[55],[54],[48]]|[256]|[[16, 4, 12, 100, 4, 4, 8, 44, 4, 4, 16, 4, 4, 28, 4], [(11.66, 144), (19.42, 80), (4.71, 16), (22.58, 16)], [(48, -10, 3), (57, -12, -3)], [0, 1, 0, 0, (0, 0)]]
[((0.33,0.43),16),((0.35,0.43),16),((0.34,0.44),16),((0.32,0.45),16),((0.30,0.45),16),((0.29,0.44),16),((0.30,0.44),16),((0.32,0.43),16),((0.34,0.49),16),((0.35,0.54),16),((0.48,0.57),16),((0.49,0.53),16),((0.49,0.47),16),((0.49,0.55),16),((0.49,0.48),16),((0.48,0.45),16)]|[(B.MAJOR,16),(g.minor,240)]|[45,45,45,45,45,43,43,43,43,43,34,34,34,45,45,45,45,45,45,45,45,45,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,48,46,43,43,43,43,43,43,43,48,48,48,48,43,43,43,43,43,43,43,43,43]|[(45,20),(43,20),(34,12),(45,36),(50,60),(0,4),(50,16),(48,4),(46,4),(43,28),(48,16),(43,36)]|[[49],[48],[48],[48],[48],[51],[51],[51],[51],[51],[54,55],[50],[50],[50],[50],[50]]|[192]|[[20, 20, 12, 36, 60, 4, 16, 4, 4, 28, 16, 36], [(5.88, 16), (-5.88, 64), (-24.63, 80), (19.42, 16), (5.88, 80)], [(48, 1, 0), (50, -2, 0)], [0, 1, 0, 0, (0, 0)]]
[((0.46,0.46),16),((0.44,0.47),32),((0.45,0.49),16),((0.48,0.51),16),((0.48,0.52),16),((0.46,0.53),16),((0.47,0.54),16),((0.46,0.52),16),((0.45,0.53),16),((0.46,0.53),16),((0.48,0.57),16),((0.50,0.57),16),((0.50,0.54),16),((0.49,0.53),16),((0.49,0.52),16)]|[(g.minor,16),(F#.MAJOR,176),(c#.minor,64)]|[43,43,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,51,51,51,51,54,54,0,49,49,49,51,51,51,51,51,51,51,51,51,51,51,51,54,54,54,54,54,39,39,39,39,49,49,49,49,49,0,0,0,0,0,0,40,40,40,40]|[(43,8),(49,64),(51,16),(54,8),(0,4),(49,12),(51,48),(54,20),(39,16),(49,20),(0,24),(40,16)]|[[50],[51],[51],[51],[51],[56],[56],[56],[56],[56],[56],[56],[50],[50],[44],[44]]|[]|[[8, 64, 16, 8, 4, 12, 48, 20, 16, 20, 24, 16], [(5.88, 16), (-24.63, 64), (-21.54, 112), (5.88, 32), (-21.54, 32)], [(44, -6, 5), (54, -3, 1)], [0, 1, 0, 0, (0, 0)]]
