((-0.5,-0.5),256)|[(f#.minor,256)]|[90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90]|[(90,256)]|[[],[],[27,34],[27,34],[27],[27],[27],[27],[27],[27,34],[27,34],[27,34],[27,34],[27,34],[34],[]]|[256]|[[256], [(-22.795, 32), (-45.59, 32), (-24.63, 80), (-45.59, 80), (-27.6, 16), (-13.8, 16)], [(27, 7, -3), (90, 0, 0)], [0, 0, 0, 0, (0, 0)]]
((-0.5,-0.5),256)|[(f#.minor,32),(a#.minor,224)]|[90,90,90,81,81,81,81,81,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89]|[(90,12),(81,20),(89,224)]|[[],[],[],[],[],[],[],[],[29,32],[29],[29],[29],[29],[29],[29],[29]]|[]|[[12, 20, 224], [(14.76, 128), (29.52, 16), (-9.36, 112)], [(29, 0, 0), (90, -1, -2)], [0, 0, 1, 0, (0, 0)]]
((-0.5,-0.5),256)|[(a#.minor,256)]|[89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,77,77,77,77,77,77,77,78,78,78,78,78,78,80,80,80,80,80,80,80,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,80,80,80,78]|[(89,72),(77,28),(78,24),(80,28),(82,88),(80,12),(78,4)]|[[29],[29],[29],[],[],[],[],[],[],[],[],[],[63],[63],[63],[63]]|[]|[[72, 28, 24, 28, 88, 12, 4], [(-9.36, 48), (-16.994999999999997, 144), (-24.63, 64)], [(29, 34, 2), (89, -11, -1)], [0, 0, 1, 1, (1, 3)]]
((-0.5,-0.5),256)|[(a#.minor,256)]|[78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,75,78,78,78,80,80,80,82,82,82,82,83,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82]|[(78,88),(75,4),(78,12),(80,12),(82,16),(83,4),(82,120)]|[[63],[63],[63],[63],[63],[63],[63],[],[],[],[],[],[],[],[],[]]|[]|[[88, 4, 12, 12, 16, 4, 120], [(-24.63, 112), (-12.315, 144)], [(63, 0, 0), (83, 4, 0)], [0, 0, 1, 1, (0, 0)]]
((-0.5,-0.5),256)|[(a#.minor,256)]|[82,82,82,82,82,82,82,82,82,82,82,82,82,77,77,77,77,77,77,77,77,77,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,77,77,77,77,77,77,89,89]|[(82,52),(77,36),(75,136),(77,24),(89,8)]|[[],[],[65],[58,65],[65],[62,65],[],[],[65],[65],[65],[],[],[],[],[]]|[]|[[52, 36, 136, 24, 8], [(-4.68, 32), (-9.36, 16), (34.92, 16), (-9.36, 16), (-15.04, 16), (-12.2, 32), (-9.36, 48), (-4.68, 80)], [(58, 0, -2), (89, 7, -9)], [0, 0, 1, 0, (0, 0)]]
((-0.5,-0.5),256)|[(a#.minor,112),(e.minor,128),(g#.minor,16)]|[89,89,89,89,89,89,89,90,90,90,90,90,90,92,92,92,92,92,92,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,92,92,92]|[(89,28),(90,24),(92,24),(94,24),(95,144),(92,12)]|[[51],[51],[51],[51],[71,80],[71,76,80],[71,76,80],[71,76,80],[58,62,76,80],[71,76,80],[71,76,80],[71,76,80],[71,76,80],[71,76,80],[71,76,80],[]]|[]|[[28, 24, 24, 24, 144, 12], [(-24.63, 64), (-31.37, 16), (37.43, 48), (51.16, 16), (37.43, 96), (18.715, 16)], [(51, 20, 3), (95, 3, 2)], [0, 0, 1, 0, (0, 0)]]
((-0.5,-0.5),256)|[(g#.minor,48),(a#.minor,144),(c#.minor,64)]|[92,92,92,92,92,92,92,92,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,85,85,85,85,85,90,90,90,90,90,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93]|[(92,32),(94,116),(85,20),(90,20),(93,68)]|[[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]|[]|[[32, 116, 20, 20, 68], [[0, 256]], ((0, 0, 0), (94, 1, -1)), [0, 0, 1, 1, (0, 0)]]
((-0.5,-0.5),256)|[(c#.minor,256)]|[93,93,93,93,93,93,93,93,93,93,93,93,93,66,66,66,66,66,66,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66]|[(93,52),(66,24),(68,96),(66,84)]|[[],[],[],[],[39,54],[39,54,63],[39,54,59,63],[39,51,54,59,63],[39,51,54,59,63],[39,51,59],[39,51],[39,51],[39],[39],[39],[39]]|[]|[[52, 24, 96, 84], [(-18.305, 64), (-36.61, 16), (-51.72, 16), (-56.81, 16), (-65.28, 32), (-50.0, 16), (-43.53, 32), (-24.63, 64)], [(39, 0, 0), (93, -27, -8)], [0, 0, 1, 1, (0, 0)]]
((-0.5,-0.5),256)|[(c#.minor,256)]|[64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,67,67,67,67,67,67,67,67,67,67,67,67,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,65,65,65,65,65,65,65,66]|[(64,44),(65,24),(67,48),(61,108),(65,28),(66,4)]|[[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]]|[]|[[44, 24, 48, 108, 28, 4], [[0, 256]], ((0, 0, 0), (67, 2, -2)), [0, 0, 1, 0, (0, 0)]]
((-0.5,-0.5),256)|[(c#.minor,64),(d#.minor,192)]|[66,66,66,66,66,68,68,68,68,68,68,68,68,68,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70]|[(66,20),(68,36),(71,64),(70,136)]|[[],[59],[59,63],[51,59,63],[39,51,59,63],[39,51,58,59,63],[39,51,54,58,59,63],[39,51,54,59],[39,54,59],[39,54,59],[39,54,59],[54,59],[54,59],[46],[34,46],[46]]|[80,208]|[[20, 36, 64, 136], [(5.83, 16), (11.66, 16), (-34.06, 16), (-50.0, 16), (-60.67, 16), (-68.74, 16), (-71.84, 16), (-56.81, 16), (-44.23, 48), (25.63, 32), (-27.6, 16), (-47.55, 16), (-27.6, 16)], [(34, -13, -8), (71, 4, 1)], [0, 0, 1, 1, (0, 0)]]
((-0.5,-0.5),256)|[(d#.minor,256)]|[70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70]|[(70,256)]|[[41,46,58],[41,46,58],[46,58,62,66],[34,41,46,50,62],[34,41,46,50,53,62],[34,41,46,50,53,58,62],[34,46,58,62],[34,46,50,58,62],[34,50,58,62],[34,50,58,62],[34,50,58,62],[34,50,58,62],[34,50,58,62],[34,50,58,62],[34,50,58,62],[34,50,58]]|[64]|[[256], [(-52.27, 32), (-57.27, 16), (57.27, 16), (60.67, 16), (68.74, 16), (-62.2, 16), (-63.97, 16), (53.35, 112), (-50.58, 16)], [(34, -7, -2), (70, 0, 0)], [0, 0, 1, 1, (1, 2)]]
